epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.843,2.24303,2.65322,1.92233,0.00663,0.15602,0.00138,0.00034,nan,nan,nan,0.000655738,0.000655738,0.000655738
2,129.458,2.12461,2.07654,1.76516,0.29277,0.28374,0.19027,0.06923,2.43054,5.2946,2.17598,0.00132218,0.00132218,0.00132218
3,197.702,2.10603,2.03378,1.74134,0.38159,0.24583,0.21708,0.07779,2.37184,4.32675,2.05114,0.00198772,0.00198772,0.00198772
4,265.174,2.11751,2.04735,1.74391,0.27496,0.32148,0.1941,0.07134,2.20271,4.92835,1.89243,0.00199695,0.00199695,0.00199695
5,326.759,2.06375,1.96917,1.69478,0.3562,0.4238,0.30282,0.11062,2.14363,3.19894,1.81049,0.00199458,0.00199458,0.00199458
6,397.173,2.0472,1.91281,1.68104,0.49818,0.40348,0.42004,0.16299,2.14328,2.80141,1.71812,0.00199153,0.00199153,0.00199153
7,469.079,2.02449,1.84955,1.69416,0.40164,0.40203,0.36081,0.14552,2.16469,2.18131,1.73122,0.00198781,0.00198781,0.00198781
8,533.773,2.01172,1.81988,1.65777,0.54464,0.42671,0.45415,0.17681,2.13599,2.32758,1.69591,0.00198342,0.00198342,0.00198342
9,605.987,1.98325,1.80539,1.63314,0.43101,0.42017,0.3762,0.15447,2.18985,2.34924,1.7712,0.00197837,0.00197837,0.00197837
10,670.645,2.00076,1.82651,1.63378,0.47776,0.45283,0.42075,0.16231,2.17185,2.27958,1.68969,0.00197265,0.00197265,0.00197265
11,734.807,1.98322,1.72483,1.61372,0.47811,0.4971,0.44742,0.18445,2.08576,1.91458,1.68712,0.00196627,0.00196627,0.00196627
12,805.266,1.9844,1.7144,1.62668,0.52404,0.44504,0.46409,0.19211,2.05796,1.79227,1.62931,0.00195923,0.00195923,0.00195923
13,875.589,1.93019,1.65796,1.61975,0.50673,0.50726,0.49168,0.19017,2.16474,1.72179,1.69203,0.00195155,0.00195155,0.00195155
14,940.965,1.96884,1.6965,1.6231,0.47112,0.5275,0.47481,0.19736,2.02762,1.96723,1.63819,0.00194322,0.00194322,0.00194322
15,1013.25,1.95182,1.66382,1.58033,0.5146,0.47242,0.48019,0.20028,2.05883,1.75722,1.62992,0.00193424,0.00193424,0.00193424
16,1084.65,1.93499,1.64204,1.59194,0.54728,0.50363,0.5225,0.21457,2.08527,1.63619,1.66667,0.00192464,0.00192464,0.00192464
17,1158.1,1.93206,1.61078,1.58936,0.5632,0.51275,0.5297,0.22014,2.08242,1.67523,1.65745,0.00191441,0.00191441,0.00191441
18,1231.11,1.90745,1.57842,1.56658,0.56946,0.48403,0.51561,0.20905,2.06074,1.64958,1.63061,0.00190356,0.00190356,0.00190356
19,1290.03,1.89676,1.62728,1.56853,0.54098,0.50631,0.50435,0.21072,2.04396,1.64221,1.61579,0.0018921,0.0018921,0.0018921
20,1351.97,1.91574,1.59004,1.57701,0.57776,0.51451,0.53038,0.21181,2.07301,1.6277,1.68026,0.00188003,0.00188003,0.00188003
21,1412.25,1.90749,1.56921,1.562,0.57418,0.5283,0.54254,0.21443,1.99202,1.86273,1.63235,0.00186737,0.00186737,0.00186737
22,1476.32,1.87779,1.53439,1.55066,0.55595,0.51451,0.5175,0.20782,2.09064,1.69064,1.6542,0.00185411,0.00185411,0.00185411
23,1540.03,1.87695,1.55581,1.55901,0.59226,0.52395,0.54577,0.22355,2.01949,1.61756,1.6436,0.00184028,0.00184028,0.00184028
24,1613.47,1.88086,1.5255,1.56203,0.58116,0.5312,0.54265,0.22655,2.05078,1.56606,1.63864,0.00182588,0.00182588,0.00182588
25,1686.94,1.88987,1.50681,1.55792,0.58726,0.52032,0.55293,0.22403,2.0495,1.58939,1.65357,0.00181093,0.00181093,0.00181093
26,1750.91,1.86678,1.51616,1.53946,0.60511,0.52104,0.54529,0.22422,2.04924,1.5457,1.64144,0.00179542,0.00179542,0.00179542
27,1810.48,1.88435,1.51718,1.53203,0.53657,0.5453,0.52987,0.2204,2.05908,1.60441,1.61804,0.00177937,0.00177937,0.00177937
28,1871.94,1.86244,1.49259,1.53501,0.58796,0.53919,0.55943,0.23138,2.02482,1.57015,1.6536,0.0017628,0.0017628,0.0017628
29,1946.4,1.86038,1.4989,1.54505,0.57456,0.53774,0.55233,0.22288,2.04633,1.61393,1.65381,0.00174571,0.00174571,0.00174571
30,2012.63,1.8482,1.45542,1.52324,0.60986,0.50943,0.55764,0.23672,2.02865,1.55346,1.63302,0.00172812,0.00172812,0.00172812
